judul_film,ringkasan_sinopsis,genre
The Maling Kuburan,Niko dan Imen dipaksa memasuki ke bisnis setelah ayah mereka gagal untuk membayar pinjamannya ia telah mengambil pelajaran di masa lalu.,Komedi
The Tarix Jabrix 3,The Tarix Jabrix mendapat tantangan terbesar dalam hidup mereka. Setelah gagal menjadi pahlawan saat menyelamatkan sebuah Panti dari kebakaran Cacing (Tria Changcut) yang bekerja di perusahaan asuransi diminta atasannya untuk bernegosiasi dengan musuh lama mereka geng motor Road Devils supaya tidak membuat kerusuhan lagi di Bandung yang sudah memakan banyak korban dan tagihan klaim asuransi yang menumpuk. Cacing langsung menyanggupi dan para sahabatnya Dadang (Erick Changcut) Mulder (Dipa Changcut) Ciko (Alda Changcut) dan Coki (Qibil Changcut) ikut menemani Cacing pulang ke Bandung. Mulder yang mendapat posisi sebagai wakil direktur di perusahaan papinya memutuskan mundur karena merasa papinya bekerjasama dengan orang asing untuk mengeksploitasi Indonesia. Namun saat The Tarix Jabrix yang kali ini berangkat tidak memakai motor mereka tetapi mobil perusahaan kantor berhasil dilumpuhkan oleh Road Devils yang sekarang sudah memiliki jenderal baru seorang gadis galak dan jagoan bernama Melly (Olivia Jensen). Bukan cuma uang negosiasi yang diambil namun mobil kantor dirusak dan yang paling memakan harga diri Cacing jaket kesayangannya juga disita oleh Melly karena Cacing kalah adu balap. Cacing malu berat emosinya bertambah saat ternyata Emak Cacing juga diserang oleh Road Devils. The Tarix Jabrix menyatakan perang dengan Road Devils dengan dibantu oleh Barokah (Eddi Brokoli) mantan jenderal Road Devils yang ingin menggulingkan Melly. The Tarix Jabrix membuat perjanjian dengan Road Devils mereka ingin mengadakan balapan ulang. Geng motor yang kalah harus dibubarkan. Melly menyanggupi. The Tarix Jabrix pun berlatih dengan Laksamana Roda Gila (Budi Dalton) supaya bisa mengalahkan Melly dan Road Devils. Dadang bertemu dengan Mayang (Kamidia Radisti) yang ternyata juga murid Laksamana Roda Gila. Hati Dadang pun berbunga-bunga menyangka dapat kesempatan untuk menyatakan cintanya ke Mayang. Namun Mayang menyimpan sebuah rahasia. Sementara itu atas ide Barokah Cacing berusaha mencari kelemahan Melly dengan berlagak PDKT ke Melly. Namun dasar Cacing maksud menjadi agen rahasia malah jatuh cinta betulan dengan Melly. Mulder yang minggat dari rumah berusaha dibujuk oleh papinya untuk kembali. Namun Mulder tetap menolak.,Komedi
The Underdogs,Film komedi Indonesia berjudul “The Underdogs” ini merupakan film yang bercerita tentang kisah kisah dari 4 sahabat yang di antaranya Bobi ( Jeff Smith ) Dio ( Brandon Salim ) Nanoy ( Babe Cabita ) dan Ellie ( Sheryl Sheinafia ). Keempat sahabat ini memiliki latar belakang yang berbeda namun mereka adalah orang-orang yang sama tidak dianggap dan tersisihkan.,Komedi
The Wedding & Bebek Betutu,"""The Crew"" berusaha keras untuk menemukan orang di belakang pemerasan yang mengancam pernikahan putri bos mereka. Dan mereka harus menemukan resep ""bebek betutu"" terbaik seperti yang diminta oleh orang yang sangat penting dalam waktu dekat untuk menjadi orang tua dalam hukum. Semua dalam 24 jam.",Komedi
Tri mas getir,Cerita bermula dari 3 orang sahabat Ciang Pek Ujang dan Sugeng. Ciang Pek masih tinggal bersama sang kakek dan ia mewarisi perguruan kungfu/Wushu. Sugeng mempunya istri gemuk yang bernama Susi Ujang ayahnya pengusaha rumah makan yang sukses dan mempunyai mimpi menikah dengan Katrina Katrodipuro bintang film terkenal dan cantik. Mereka bertiga bersahabat bekerja sebagai figuran dan sangat mengidolakan Katrina. Sugeng dan Ujang adalah murid perguruan wushu milik engkong Ciang Pek. Pada suatu hari engkong Ciang Pek meninggal dunia. Di malam pemakamannya datang seorang gembong mafia bernama Munar Sapawi yang ingin menagih hutang Enkong sebesar 200 juta dan mengancam akan menyita perguruan wushu apabila tidak bisa melunasi hutang tersebut. Karena putus asa Sugeng mengusulkan sebuah solusi yang konyol dan bodoh yaitu menculik Katrina. Untuk menjalankan rencananya Sugeng kembali meminjam uang kepada Munar Sapawi untuk membeli peralatan-peralatan yang dibutuhkan. Namun mereka salah culik. Yang mereka culik adalah Fatima bintang Film yang namanya sudah pudar. Nasi sudah jadi bubur Trio ini tetap meminta uang tebusan kepada Star Joni sang produser untuk menebus Fatima. Dan ternyata Star Joni menolak karena Fatima sudah tidak laku.,Komedi
Wakil rakyat,Karena melakukan kesalahan fatal pada acara rakernas sebuah partai besar Bagyo Tora Sudiro harus kehilangan pekerjaannya. Musibah itu membuat rencana pernikahannya dengan Ani Revalina S Temat batal. 0Apalagi Abdul Jaja Mihardja ayah Ani memang tidak menyukainya. Di tengah kesulitan itu musibah lain datang uang untuk ongkos orang tuanya datang melamar ke Jakarta dicuri oleh sekawanan penjahat. Karena tidak tahan tekanan yang bertubi-tubi Bagyo jadi gelap mata. Ia mencari orang-orang yang membawa kabur uangnya untuk menuntut balas. Kebetulan para penjahat itu sedang merampok seorang artis bernama Atika Wiwid Gunawan. Aksi itu gagal karena Bagyo tiba-tiba muncul dan langsung menghajar mereka hingga babak belur. Bagyo disanjung sebagai pahlawan. Kisah keberanian Bagyo menjadi berita di berbagai media nasional maupun daerah. Ketenaran Bagyo lalu dimanfaatkan oleh sebuah partai politik papan atas untuk menggaet dukungan massa dalam pemilihan legislatif. Bagyo ditemani Jereng Vincent Rompies berangkat untuk berkampanye di Wadasrejo sebuah daerah terpencil yang rakyatnya hidup serba kekurangan. Ternyata masyarakatnya tidak mengenal sosok Bagyo sama sekali. Di sana Bagyo menemukan kenyataan lain yang lebih penting daripada nama besar dan popularitas. Masyarakat desa lebih menghargai kejujuran dan ketulusan daripada kata-kata muluk yang diobral dalam sebuah kampanye politik.,Komedi
Wanita tetap wanita,Bercerita tentang kekuatan perempuan dalam menghadapi segala macam konflik kehidupan. Disini juga diperlihatkan bahwa kaum hawa tidak selalu lemah dan menggantungkan hidup pada lelaki.,Komedi
Warisan Olga,"OLGA adalah seorang pemilik kost di pinggiran Jakarta. Meskipun OLGA sangat menyayangi adiknya BILLY, tetapi ia sering dibikin kesal sama ulah BILLY dan pacarnya CINDY yang selalu morotin BILLY. Saat BILLY sedang makan siang bersama CINDY, ia bertemu dengan LEA, anak seorang arkeolog. Secara tidak sengaja, Ayah LEA menemukan sebuah batu berharga, yang membuat MONGOL, rekannya serakah dan ingin merebut batu itu. MONGOL membunuh ayah Lea, tetapi batu itu tidak ditemukan. Ternyata sebelum meninggal, Ayah LEA sempat mengirim peta dimana batu berharga itu berada kepada LEA. MONGOL menyuruh anak buahnya DORA, AYU dan EMON untuk mencari LEA. Tanpa sepengetahuan BILLY, LEA menyembunyikan Peta dikantong baju BILLY. Setelah lolos dari kejaran MONGOL, LEA mencari keberadaan BILLY untuk mengambil Peta yang pernah ditaruh dikantong BILLY. LEA berhasil masuk kekamar BILLY tetapi Peta itu tidak ada. LEA kepergok BILLY dan menceritakan maksud kedatangannya namun BILLY tidak percaya. Mereka ribut dan tiba-tiba anak buah MONGOL muncul, langsung menyandera BILLY dan LEA. Karena tidak mau BILLY terluka, LEA berbohong dan bilang kalau Peta itu ada di suatu tempat. LEA pun pergi dengan anak buah MONGOL. BILLY kwatir dengan keselamatan Lea dan coba mencari Peta yang dimaksud. TARRA dan CHAND akhirnya tahu kalau BILLY sedang mencari Peta harta karun. TARRA berhasil menemukan dan memfoto Peta tersebut sebelum diberikan ke BILLY. BILLY ingin menebus LEA dari MONGOL dengan Peta. Setelah perkelahian, BILLY dan LEA berhasil meloloskan diri dari MONGOL dan anak buahnya. Takut MONGOL akan mengancam jiwa OLGA dan penghuni kost, BILLY memutuskan mengikuti LEA mencari harta karun tersebut. Sementara CHAND dan TARRA juga ikut mencari harta itu sesuai petunjuk di HP TARA. Di jalan mereka ketemu JACK, yang bergaya penyanyi Rock Marilyn Manson, dan ikut mereka kepulau. BILLY dan LEA tiba di pulau Peucang, tempat harta karun, sementara CHAND, TARRA dan JACK nyasar kepulau Umang. Setelah melewati pencarian yang rumit, dari mulai penemuan harta palsu dan berkelahi dengan anak buah MONGOL, akhirnya mereka menemukan batu berharga yang dimaksud. Disaat yang sama, MONGOL cs menemukan mereka. Serangkaian kejadian yang terjadi membuat BILLY dan LEA menjadi dekat. BILLY segera kembali kerumah karena tahu OLGA sakit keras. BILLY minta maaf dan berjanji akan membayar hutangnya. Karena sayangnya OLGA, justru BILLY mendapat pesan warisan. Keluarga terharu melihat rasa sayang yang diberikan OLGA pada BILLY.",Komedi
Yowis Ben,Bayu (Bayu Skak) mencintai Susan (Cut Meyriska). Karena dia merasa rendah diri dengan keadaannya sendiri yang biasa-biasa saja Bayu menyimpan perasaan itu di dalam hatinya. Segala sesuatunya berubah sejak Susan mengirim obrolan suara ke Bayu. Dia pikir Susan memberi isyarat untuk didekati. Ternyata Susan menggunakan Bayu untuk membantunya menyediakan pecel (salad kacang tanah) untuk konsumsi teman OSIS-nya. Bayu bertekad untuk menjadikan dirinya lebih populer daripada Roy (Indra Wijaya) pacar Susan gitaris band sekolah. Bayu membentuk band dengan Doni (Joshua Suherman) Yayan (Tutus Thomson) dan Nando (Brandon Salim). Mereka menamai band mereka Yowis Ben. Ketika Yowis Ben tumbuh di dunia musik kota Malang perpecahan antara personil Yowis Ben mulai muncul.,Komedi
Makelar kodok untung besar,"Pengusaha kodok Komar (Afrizal Anoda) muncul sebagai pengekspor kodok yang berhasil dan kaya raya. Ia lalu jatuh hati pada Freza (Paramitha Rusady), gadis cantik yang bercita-cita menjadi penyanyi, namun salah masuk ke kantor perusahaan ekspor kodok milik Komar. Mereka kemudian bertunangan, namun acara pertunangan itu diganggu usaha saingan usaha Komar, Imung, yang berusaha membunuh Komar. Pembunuhan gagal, namun Imung berhasil menyandera Freza. Komar minta bantuan Profesor (Dorman Borisman) yang kemudian menciptakan robot wanita bernama Jolly Robot (Ida Kusumah), yang mengobrak-abrik sarang Imung dan menyelamatkan Freza.",Komedi
Gara-gara Mobil Baru,"Dari seorang makelar, akhirnya Gunawan (Mansur Saleh) bisa mendirikan perusahaan karena kekikirannya. Anaknya, Mariana (Leily Sulastri) senang bergaul, antara lain dengan Ibrahim (Zainal Abidin). Gunawan tak suka, lalu menarik anaknya dari sekolah dan disuruh belajar di rumah dengan guru khusus, yang sudah tua dan sering tertidur. Ia dipecat dan diganti guru wanita. Kali ini sang istri (Sulastri) yang cemburu. Akhirnya didatangkan guru berjenggot, katanya profesor, yang ternyata adalah Ibrahim, hingga mereka menikah. Gara-gara memakai mobil baru, pengantin baru ini diusir. Tapi, waktu Gunawan sakit dan dirawat oleh... lagi-lagi dokter Ibrahim, maka sang menantu boleh menggunakan mobil baru.",Komedi
Karminem,"Kisah tentang janda Karminem yang bosan hidup di kota dan pulang mudik. Di desa ia disambut dengan segala kecemasan ibu-ibu yang tak menyukai profesi Karminem. Anak-anak mereka yang ingin belajar nyanyi diseret pulang. Anak-anak tak putus asa. Setelah belajar, mereka naik pentas di pesta kelurahan. Para orangtua terharu dan sejumlah tanda terima kasih mengalir ke Karminem. Tampil pula pelawak-pelawak dari Surya Group yang tidak seperti saat film Inem Pelayan Sexy, tidak mendapat tempat cukup untuk melontarkan kelucuannya, terutama Jalal. Jalal di sini mengincer adik Karminem, sementara Herry Koko mengincar Karminem. Dua orang ini merasa mengincar satu orang, hingga sering salah paham. Nya Abbas sekadar membanyol kali ini, meski tetap ada sindiran di sana-sini: belajar nyanyi karena ingin kaya; menyanyi dengan mulut dimonyong-monyongkan agar serius; Karminem bersilat bak jagoan dalam film Mandarin.",Komedi
Untung ada saya,"Ada dua kisah yang dicoba dijadikan satu. Asmuni yang mencoba merayu Jujuk Juwariah karena suaminya, Tarsan, pergi lama ke kota. Dan Drakula yang mengganggu ketenteraman desa. Mula-mula cerita tentang Drakula. Gepeng mengantar pacarnya, Sofia, untuk mencari kakak Sofia di kamar mayat. Mereka jumpa Drakula. Kisah lalu loncat ke Asmuni yang mencoba merayu Jujuk Juwariah, tapi digagalkan Gepeng terus, hingga akhirnya ia memfitnah. Tarsan disurati bahwa Jujuk Juwariah serong dengan Gepeng. Setelah ini selesai, maka Gepeng disuruh pak lurah untuk menyelesaikan masalah Drakula. Selesai juga. Semua penyelesaian dengan cara lucu, yang memang jadi maksud film ini: memindahkan banyolan panggung Srimulat ke film. Sayang usaha ini kurang berhasil, meski seluruh pemain Srimulat main.",Komedi
Iseng,"Seorang pelukis, Rudy (Alwi Oslan) dibawa temannya Murdi yang direktur bank. Mendadak Murdi harus pulang ke Jakarta. Dalam perjalanan dari Bandung itu Murdi bertemu Tuti (Tatiek Maliyati), seorang peminat lukisan. Tuti tertarik, karena mengira Murdi itu Rudy. Soalnya Murdi membawa tas yang bertulisan ""Rudy-Pelukis"" yang dia pinjam dari Rudy. Dalam pada itu di Bandung Rudy disangka Murdi yang direktur bank. Ia didatangi oleh Subhan (M Panji Anom) yang membawa anak gadisnya, Rita (Mieke Widjaja) dan bermaksud memperoleh pinjaman uang yang banyak. Kesalahfahaman yang belakangan membikin kecewa. Sebaliknya Murdi dan Tuti kemudian jadi pasangan bahagia",Komedi
D'Bijis,"Obsesi Asti (Rianti Cartwright) untuk mempersatukan kawan-kawan abangnya yang tergabung dalam grup rock The Bandits dimulai dari mendekati mereka satu persatu. Dengan embel-embel kenangan akan abangnya Bonnie (Darius Sinathrya), Asti mengajak Damon (Tora Sudiro), gitaris yang kini bekerja sebagai pekerja di bar dangdut. Mereka lalu mengajak Gendro, bekas drummer The Bandits yang sudah menikah dan sulit secara ekonomi untuk bergabung. Setelah itu, mereka juga mengajak Bule (Gary Iskak), yang sudah menjadi waria. Sementara Soljah, keyboardist, yang sudah jadi gendut, hilang rimbanya walau sudah dicari Asti ke rumahnya. Konflik terjadi di antara kisah mencari vokalis, dan kisah cinta antara Asti dan Damon.",Komedi
Satu Mawar Tiga Duri,"Hendra (Deddy Mizwar), anak keluarga kaya tapi telat kawin. Satu kali ia jatuh cinta pada Rini (Ita Mustafa). Repotnya Rini tinggal bersama tiga pamannya yang masih bujangan dan jadi duri bagi Hendra. Masing-masing paman menghendaki Rini kawin dengan pemain teater, petinju, atau penerjun. Satu demi satu pamannya tadi dikelabui. Yang menolong Rini adalah bibinya yang menyalahkan paman-paman tadi hingga mereka sendiri belum kawin meski sudah cukup umur.",Komedi
Ateng Mata Keranjang,"Ada usaha dari Asrul Sani untuk tidak membuat banyolan, tapi usahanya ini tidak begitu berhasil. Dua buruh kasar, Ateng dan Iskak, berjumpa dengan Eddy Sud, doktorandus gadungan, dan dua orang eksentrik (Purnomo dan Aedy Moward) yang membawa peta harta karun. Mereka sepakat mencari harta karun itu. Di perjalanan rombongan ini berjumpa dengan dua gadis (Vivi Sumanti dan Mutiara Sani). Maka Ateng-Iskak mulai ada main dengan dua gadis tadi. Sementara sekelompok penjahat ingin menjarah hasil galian mereka. Ternyata dua orang eksentrik tadi adalah pasien rumah sakit gila yang sedang dicari-cari polisi.",Komedi
Opor Operan (I),"Suatu hari, sehari sebelum Idul Fitri di desa luar kota Bandung, Ibu Rumah Tangga sibuk memasak opor yang nantinya akan dibagikan ke tetangga terdekat. Ibu Ani, juru masak yang baik di desa itu sedang memproses bahan makanan dengan tangannya yang cepat. Di sisi lain, Ny. Jajang berusaha keras untuk memasak meskipun banyak rintangan yang harus dia hadapi. Berbeda dengan ibu rumah tangga lainnya, Bu Nur melakukan selfie, menonton televisi dan tidur daripada memasak.",Komedi
Teh Botol Sosro Kulineria web-series,Cerita kuliner masakan dan kehidupan dari dua orang pemuda dengan canda tawa yang dimilikinya,Komedi
Indonesia berbisik,"Kisahnya tentang seorang gadis yang sudah punya kekasih, tapi dipaksa kawin dengan pria lain. Sang suami kemudian menyeleweng, sedang bayinya mati dan sang kekasih masuk penjara. Wanita ini jatuh sakit karena penderitaan dan rasa rindu pada kekasihnya. Ketika hampir mati, kekasih yang dirindukannya muncul. Pertemuan yang mengharukan itu diselingi banyolan pelawak Oemar. Penyakit perempuan itu sembuh setelah mendengar nyanyian keroncong Ferry. Cerita diakhiri dengan adegan percintaan Oemar dan pelayan di atas pohon karet.",Komedi
The Maling Kuburans,"Niko (Indra Birowo) dan Imen (Ytonk) terpaksa menjadi maling kuburan dadakan untuk menebus warisan kedua ayah mereka, yang ternyata juga berprofesi sebagai maling kuburan. Usaha mereka untuk menjadi maling kuburan, tidaklah mudah. Apalagi ketika mereka berhasil mendapatkan peta lokasi kuburan yang justru telah berubah menjadi bangunan asrama kesusteran putri.",Komedi
Barang titipan,"Banyolan dalam ""tradisi"" Warkop DKI. Cerita hanya sekadar sampiran untuk mencari kelucuan. Dan, tidak lupa pameran gadis-gadis sexy. Unang, Miing dan Didin (anggota grup lawak Bagito) mempunyai usaha pengiriman barang. Pengiriman dilakukan dengan sepeda. Usaha ini banyak gagalnya. Lalu mereka merekrut tenaga pengirim wanita. Suatu hari dapat order mengirim tempat tidur antik. Ternyata kiriman salah alamat. Dan tempat tidur tadi berkalana, hingga yang mengirim marah-marah karena di dalamnya diselipkan sebuah berlian. Maka seluruh karyawan ramai-ramai mencari tempat tidur antik dengan segala macam cara, termasuk jadi ""ninja"". Setelah ketemu, ternyata pemilik mengatakan bahwa berlian itu belum diselipkan. Dan dia tidak jadi mengirimkan tempat tidur antik itu, dan menghadiahkan pada mereka.",Komedi
Ada gula ada semut,"Ketika Djaya miskin, keluarga dan teman-teman menjauhinya, kecuali Hasan. Begitu terbetik berita akan mendapat hadiah undian, keluarga dan teman-teman mengerubutinya. Untuk buang sial, celana lusuh dibuangnya ke sungai. Tahu-tahu justru di kantong celana itulah lembaran lotre. Kontan keluarga dan teman-teman menjauh lagi. Hanya Hasan yang sedia menemani Djaya untuk mencari celana. Setelah celana (dan lotre) ketemu, lagi-lagi keluarga dan teman-teman mendekati Djaya. Dan kembali Djaya dijauhi, karena ternyata lotrenya kadaluwarsa.",Komedi
Inem Pelayan Sexy III,"Dengan slogan ""Tanpa Babu Negara Kacau"", Inem mengadakan kongres babu-babu lengkap dengan segala upacara dan tata caranya. Kongres ini berangkat dari pikiran bahwa nasib babu masih sengsara dan mendapat perlakuan tak adil. Sebagai bekas babu dan kini istri multi milyarder, dia tergerak untuk memperbaiki nasib kaumnya. Tapi, sebenarnya kegiatan ini muncul dari ambisi pribadinya untuk menjadi tokoh, di samping dia tidak lagi tahu harus berbuat apa sebagai istri orang kaya. Hal inilah yang sebenarnya lebih jadi motivasi utama. Maka semua tindakannya jadi tidak proporsional: ada Bank Babu-Babu, Monumen Babu-Babu, Perumahan Babu-Babu, Taman Babu-Babu, dll. Ketidakseimbangan ini dipulihkan di akhir film. Semua usaha Inem kocar-kacir, rumah tangganya pun kocar-kacir. Inem kembali jadi istri ""biasa"". Film ini paling lengkap menunjukkan sikap sosial Nya Abbas.",Komedi
Jomblo,Empat teman kuliah berbagi kehidupan lucu mereka di bangku universitas. Mereka bertemu dengan seorang gadis yang mengajari mereka tentang cinta dan pengkhianatan.,Komedi
Intan Berduri,"Sebuah keluarga miskin, Jamal (Benyamin S), istrinya Saleha (Rima Melati) dan anaknya, yang hidup dari menangkap ikan di sungai dengan bubu, tiba-tiba mendapat intan di bubunya. Seluruh desa geger. Polisi dan seorang pengacara, Max Syad SH (Farouk Afero) datang untuk mengamankan intan itu. Suami-istri miskin itupun diatur hidupnya jadi kaya oleh Max Syad. Sampai akhirnya ketahuan bahwa intan itu masih terlalu muda untuk dibentuk, hingga suami-istri tadi kembali miskin. Kelucuan dan sindiran halus tampil dengan manis.",Komedi
Kesempatan Kedu(d)a,"Abi (Raffi Ahmad) adalah seorang budak korporat. Istrinya, Maya (Dinda Kanya Dewi), wanita karir super ambisius, berselingkuh dengan bos Abi sendiri. Ken (Zizan Razak) menikah dengan Baby (Nagita Slavina), anak produsen wig nomor satu di Indonesia. Ken dan Abi tidak sengaja bertemu di Pengadilan Agama untuk mengurus perceraian mereka. Sesudah sidang cerai yang melelahkan, Ken dan Abi nongkrong di sebuah warung kopi di samping gedung pengadilan. Mereka merasa ini adalah titik terendah di hidup mereka. Tapi, bapak pemilik warung mematahkan anggapan mereka. Sejak saat itu, persahabatan Ken dan Abi jadi erat kembali. Mereka pun sama-sama mencari kekasih, tapi ada saja rintangan yang mereka hadapi.",Komedi
Cinta sama dengan Cindolo na Tape,"Timi (A Thesar Resandy) jatuh cinta pada We Cinde (Maizura), siswi baru di kelasnya. Kedekatan mereka berdua membuat Ian (Brillian Sondakh), sahabat Timi sejak SMP, geram karena Timi menjadi jarang berkumpul dengan sahabatnya itu. Ian pun memilih bergaul dengan dua anak berandal di sekolahnya. Kedekatan Timi dan Cinde tak berlangsung lama. Timi bertemu dengan Maya, pemilik distro tempat ia bekerja membuat desain t-shirt. Timi salah mengira ketika Maya tak sengaja memegang tangannya. Timi memberi ruang di hatinya untuk Maya. Cinde yang merasakan perubahan sikap Timi, kecewa.",Komedi
Mama Mama Jagoan,"Myrna (Niniek L Karim), yang suaminya baru meninggal, mengalami depresi. Semangatnya baru muncul ketika menerima kartu pos dari Monang, anak lelakinya yang sudah setahun tidak pulang akibat bersitegang dengan ayahnya. Ditemani dua sahabatnya, Dayu (Widyawati) dan Hasnah (Ratna Riantiarno), Myrna mencari Monang di Bali. Satu-satunya petunjuk adalah kartu pos tanpa alamat tersebut. Setibanya di Bali, ternyata tidak mudah mencari Monang. Mereka justru terlibat dengan berbagai masalah dan kejadian lucu: Hasnah yang takut terbang, pengalaman pertama mencoba bikini wax, Dayu yang bertemu lagi dengan cinta lamanya, sampai mereka terlibat pertengkaran satu sama lain.",Komedi
Dimsum Martabak,"Mona (Ayu Ting Ting) bekerja sebagai tangan kanan Koh Ah Yong (Chew Kin Wah) di restoran cina, The King's, yang menyajikan dimsum sebagai menu utamanya. Istri kedua, Koh Ah Yong cemburu, hingga Mona dipecat. Terpaksa Mona harus mencari pekerjaan lain karena sejak ayahnya meninggal, Mona menjadi tulang punggung keluarga. Apalagi Ibu Mona (Meriam Bellina) sakit dan adik perempuannya masih kuliah. Mona bekerja serabutan hingga bertemu dengan Soga (Boy WIlliam) dan anak buahnya, Dudi (Acho Muhadkly) yang membuka bisnis foodtruck martabak. Soga mengajak Mona untuk membantu usahanya. Pada awalnya, mereka senantiasa bertengkar karena pola kerja yang berbeda. Mona menganggap Soga tidak serius mengelola bisnisnya, sementara Soga merasa Mona terlalu dominan dalam mengatur segalanya. Ketika akur, hubungan kerja telah berkembang menjadi hubungan suka. Namun, Soga menahan diri. Dia merahasiakan identitas dirinya. Dia adalah Soga Guntara, putra mahkota miliarder Eric Guntara (Ferry Salim) dan Sandra Guntara (Olga Lydia). Dia ragu apakah ketika Mona tahu, dia akan tulus mencintai Soga? Soga juga ragu apakah keluarganya nanti bisa menerima Mona?",Komedi
Halo Makassar,"Diat, komposer musik, mendapatkan proyek dari kliennya di Makassar. Demi mendapatkan hasil maksimal, Diat harus melakukan perjalanan ke Makassar. Diat yang sehari-harinya menggunakan taksi untuk mengerjakan proyeknya, jatuh cinta pada suara Anggu, operator taksi yang selalu ia dengar ketika menumpangi taksi. Dibumbui komedi Mellonk dan Bimbi, supir taksi selalu mengantar Diat keliling Makassar. Selama di Makassar, Diat diberi pilihan antara menyelesaikan pekerjaannya atau mengejar cinta dengan segala kemungkinan yang tak bisa ia prediksi.",Komedi
Reuni Z,"Reuni SMA Zenith berlangsung meriah. Di antara para alumni yang dating: Juhana (Soleh Solihun), aktor spesialis film murahan, Jeffri (Tora Sudiro) dan istrinya Lulu (Ayushita) yang sedang mengalami krisis paruh baya. Ada juga sosok perempuan cantik misterius bernama Marina (Dinda Kanya Dewi), yang mengaku seangkatan namun tak dikenali oleh siapapun. 20 tahun lalu, hubungan mereka sempat renggang. Rasa canggung masih terasa ketika mereka bertemu kembali sore itu. Kemeriahan itu buyar ketika para cheerleader berubah menjadi zombie dan menyerang para alumni. Kini, Jeffri, Juhana, Lulu dan Marina harus berjuang untuk survive. Reuni yang harusnya waktu untuk melepas kangen berubah jadi waktu untuk teman makan teman!",Komedi
Enak Tho Zamanku: Piye Kabare,"Setelah penyerangan brutal atas Pinuntun (Dolly Martin) dan juru goreng Mbah Mangun (Otig Pakis), bisnis berada di bawah kendali Saladin (Soultan Saladin). Datang Darmo Gandul (Panji Addiemas) kembali dari pencarian jati diri. Ia bertemu dengan Retno (Ismi Melinda), gadis penghibur yang ingin menyelamatkan adiknya dari korban jaringan penjualan wanita ke negeri seberang. Darmo Gandul juga menemukan, kerajaan bisnis ayahnya kini jadi kartel kejahatan. Darmo Gandul harus berhadapan dengan gerombolan Gato Loco (Eko Xamba), kaki tangan Saladin. Kekuasaan dan jaringan kejahatan Saladin, tidak sederhana. Ada penjahat dan agen-agen kaliber internasional dalam rencana besar menjadikan Saladin seorang penguasa.",Komedi
Partikelir,"Adri (Pandji Pragiwaksono) dan Jaka (Deva Mahenra), sahabat sejak SD sampai SMA, terobsesi jadi detektif. Adri lebih berani dan berpikir cepat, sementara Jaka strategis dan berpikir panjang. Ketika SMA, mereka dikenal sering mengurusi kasus-kasus di sekolah. Dari “Misteri Berkurangnya Bihun Risol”, ""Misteri Hilangnya Gesper Kepala Sekolah"" dan ""Misteri Kancut Penyumbat WC Sekolah"". Mereka berpisah saat kuliah. Jaka kerja sebagai pengacara di Law Firm Litigasi, sementara Adri masih ngotot dengan cita-citanya dan jadi detektif partikelir. Suatu hari, Adri menerima job dari perempuan cantik, Tiara (Aurelie Moeremans) yang tiba-tiba ayahnya tertembak. Itu membuat Adri ada di tengah kasus serius dan minta bantuan Jaka.",Komedi
Hongkong Kasarung,"Sule (Sule) nekat minta sama emaknya (Yati Surachman) untuk bekerja di Malaysia. Dia ingin punya banyak uang, agar bisa merebut kembali Iis (Selvi Kitty), pacarnya yang terbuai oleh Cecep (Uus). Situasi ini dimanfaatkan oleh Mang Saswi (Sas Widjanarko), pamannya. Saswi membawa Sule ke Hongkong dengan uang bekal Sule dari menjual sawah. Sule tanpa sengaja terlibat urusan dengan geng lokal pimpinan Bos K (Iwa K), karena berusaha menolong Aline (Pamela Bowie), putri pengusaha Indonesia (George Rudy). Ia harus juga berurusan dengan The Bag (Volland Volt), pembunuh bayaran suruhan Papi Aline.",Komedi
Takut Kawin,"Bimo (Herjunot Ali) dan Lala (Indah Permatasari) hendak mengakhiri hubungan pacaran menjadi pernikahan, setelah mereka menghadiri pernikahan teman mereka Romy. Mereka persiapkan semuanya sendiri. Beberapa bulan kemudian niat Bimo menikahi Lala goyah. Pernikahan Romy berantakan. Sahabat-sahabat Bimo, Harris dan Ganda, ikut menambah runyam rencana pernikahan Bimo. Menikah adalah awal derita. Kawin berarti dengan satu wanita. Kawin berarti musti berbagi penghasilan. Kawin berarti menjadikan adiknya adikmu. Kawin berarti musti punya mobil rumah dan pekerjaan. Niat Bimo kawin semakin goyah setelah melihat kekurangan Lala. Bimo takut kawin, ia tunda pernikahannya. Lala tersinggung. Ia pilih meninggalkan Bimo. Sesungguhnya Bimo maupun Lala menyadari, bahwa sendiri tetap lah lebih menakutkan dibanding takut kawin.",Komedi
